date, high, low, open, close, volume, quoteVolume, weightedAverage
1442376000, 1.01999874, 1.01999874, 1.01999874, 1.01999874, 0, 0, 1.01999874
1442390400, 1.01999874, 1.01999874, 1.01999874, 1.01999874, 0, 0, 1.01999874
1442404800, 1.01999874, 1.01999874, 1.01999874, 1.01999874, 0, 0, 1.01999874
1442419200, 1.01999874, 1.01999874, 1.01999874, 1.01999874, 0, 0, 1.01999874
1442433600, 0.9999988, 0.88851638, 0.88851638, 0.9999988, 8.55024221, 8.55640513, 0.99927973
1442448000, 0.9999988, 0.9999988, 0.9999988, 0.9999988, 0, 0, 0.9999988
1442462400, 0.8885184, 0.8885184, 0.8885184, 0.8885184, 0.76674662, 0.86294963, 0.8885184
1442476800, 0.88851841, 0.84, 0.88851841, 0.84, 86.34597331, 98.99453365, 0.8722297
1442491200, 0.84, 0.84, 0.84, 0.84, 0, 0, 0.84
1442505600, 0.84, 0.84, 0.84, 0.84, 0, 0, 0.84
1442520000, 0.84, 0.84, 0.84, 0.84, 0, 0, 0.84
1442534400, 0.84, 0.84, 0.84, 0.84, 0, 0, 0.84
1442548800, 0.84, 0.84, 0.84, 0.84, 0, 0, 0.84
1442563200, 0.84, 0.84, 0.84, 0.84, 0, 0, 0.84
1442577600, 0.84, 0.84, 0.84, 0.84, 0, 0, 0.84
1442592000, 0.87, 0.86, 0.87, 0.86, 25.95, 30, 0.865
1442606400, 0.85, 0.85, 0.85, 0.85, 12.75, 15, 0.85
1442620800, 0.85, 0.85, 0.85, 0.85, 0, 0, 0.85
1442635200, 0.85, 0.85, 0.85, 0.85, 0, 0, 0.85
1442649600, 0.95998699, 0.84050002, 0.95998699, 0.84050002, 0.03503293, 0.03891237, 0.9003033
1442664000, 0.84050002, 0.84050002, 0.84050002, 0.84050002, 0, 0, 0.84050002
1442678400, 0.84050002, 0.84050002, 0.84050002, 0.84050002, 0, 0, 0.84050002
1442692800, 0.9599746, 0.9599746, 0.9599746, 0.9599746, 0.48356093, 0.50372264, 0.9599746
1442707200, 0.9599746, 0.9599746, 0.9599746, 0.9599746, 0, 0, 0.9599746
1442721600, 0.9599746, 0.9599746, 0.9599746, 0.9599746, 0, 0, 0.9599746
1442736000, 0.9599746, 0.9599746, 0.9599746, 0.9599746, 0, 0, 0.9599746
1442750400, 0.9599746, 0.9599746, 0.9599746, 0.9599746, 0, 0, 0.9599746
1442764800, 0.9599746, 0.9599746, 0.9599746, 0.9599746, 0, 0, 0.9599746
1442779200, 0.95995281, 0.95995281, 0.95995281, 0.95995281, 0.35354961, 0.36829895, 0.95995281
1442793600, 0.97, 0.95995205, 0.95995205, 0.97, 138.74417371, 144.21771925, 0.96204665
1442808000, 0.97, 0.97, 0.97, 0.97, 0, 0, 0.97
1442822400, 0.97, 0.97, 0.97, 0.97, 0, 0, 0.97
1442836800, 0.97, 0.97, 0.97, 0.97, 0, 0, 0.97
1442851200, 0.97, 0.97, 0.97, 0.97, 0, 0, 0.97
1442865600, 0.9015, 0.8915, 0.9015, 0.8915, 8.965, 10, 0.8965
1442880000, 0.8915, 0.8915, 0.8915, 0.8915, 0, 0, 0.8915
1442894400, 0.8815, 0.8815, 0.8815, 0.8815, 4.4075, 5, 0.8815
1442908800, 0.8815, 0.88149999, 0.88149999, 0.8815, 167.73499814, 190.28360753, 0.88149999
1442923200, 0.935, 0.87502047, 0.935, 0.87502047, 0.39115448, 0.42912335, 0.91151992
1442937600, 0.87502047, 0.87502047, 0.87502047, 0.87502047, 0, 0, 0.87502047
1442952000, 0.87502047, 0.87502047, 0.87502047, 0.87502047, 0, 0, 0.87502047
1442966400, 0.935, 0.8750303, 0.935, 0.87503089, 0.01366564, 0.0150994, 0.90504532
1442980800, 0.89999999, 0.87503091, 0.89999999, 0.89999999, 0.00425487, 0.00479181, 0.88794724
1442995200, 0.89999999, 0.89999999, 0.89999999, 0.89999999, 0, 0, 0.89999999
1443009600, 0.9, 0.899993, 0.899993, 0.9, 12.55119887, 13.94582123, 0.89999711
1443024000, 0.9, 0.9, 0.9, 0.9, 0, 0, 0.9
1443038400, 0.9, 0.9, 0.9, 0.9, 0, 0, 0.9
1443052800, 0.9, 0.9, 0.9, 0.9, 0, 0, 0.9
